Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,Home_Elo_Before,Away_Elo_Before
1938,05 Jun 1938 - 17:00 ,First round,Velodrome Municipale,Reims ,Hungary,6.0,0.0,Dutch East Indies, ,9000.0,4.0,0.0,CONRIE Roger (FRA),DE LA SALLE Charles (FRA),WEINGARTNER Karl (AUT),206.0,1173,HUN,INH,1498.5947439013255,1500.0
1938,05 Jun 1938 - 17:00 ,First round,Stade Olympique,Colombes ,France,3.0,1.0,Belgium, ,30454.0,2.0,1.0,WUETHRICH Hans (SUI),KRIST Gustav (TCH),BIRLEM Alfred (GER),206.0,1146,FRA,BEL,1467.2959743170234,1453.5034096591448
1938,05 Jun 1938 - 17:00 ,First round,Stade Municipal,Toulouse ,Cuba,3.0,3.0,Romania, ,7000.0,0.0,0.0,SCARPI Giuseppe (ITA),VALPREDE Ferdinand (FRA),MERKCX Jean (FRA),206.0,1156,CUB,ROU,1500.0,1484.0000031549498
1938,05 Jun 1938 - 17:00 ,First round,Stade Vï¿½lodrome,Marseilles ,Italy,2.0,1.0,Norway,Italy win after extra time ,19000.0,0.0,0.0,BERANEK Alois (AUT),BOUTOURE D. (FRA),TREHOU D. (FRA),206.0,1179,ITA,NOR,1558.4012833120526,1500.0
1938,05 Jun 1938 - 17:30 ,First round,Stade de la Meinau,Strasbourg ,Brazil,6.0,5.0,Poland,Brazil win after extra time ,13452.0,0.0,0.0,EKLIND Ivan (SWE),POISSANT Louis (FRA),KISSENBERGER Ernest (FRA),206.0,1150,BRA,POL,1483.296043123496,1500.0
1938,05 Jun 1938 - 18:30 ,First round,Cavee Verte,Le Havre ,Czechoslovakia,3.0,0.0,Netherlands,Czechoslovakia win after extra time ,11000.0,0.0,0.0,LECLERCQ Lucien (FRA),OLIVE D. (FRA),SDEZ Victor (FRA),206.0,1172,TCH,NED,1532.6377677890025,1484.0
1938,09 Jun 1938 - 18:00 ,First round,Stade Municipal,Toulouse ,Cuba,2.0,1.0,Romania, ,8000.0,0.0,1.0,BIRLEM Alfred (GER),CAPDEVILLE Pierre (FRA),MARENCO Paul (FRA),206.0,1157,CUB,ROU,1499.2636933514611,1484.7363098034887
1938,09 Jun 1938 - 18:00 ,First round,Parc des Princes,Paris ,Switzerland,4.0,2.0,Germany, ,20025.0,1.0,2.0,EKLIND Ivan (SWE),BAERT Louis (BEL),VAN MOORSEL Johannes (NED),206.0,1166,SUI,GER,1501.4406777556183,1529.3158753155874
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,1.0,1.0,Czechoslovakia, ,22021.0,0.0,0.0,VON HERTZKA Pal (HUN),SCARPI Giuseppe (ITA),DE LA SALLE Charles (FRA),429.0,1152,BRA,TCH,1500.0646966143288,1546.4124337781109
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Victor Boucquey,Lille ,Hungary,2.0,0.0,Switzerland, ,15000.0,1.0,0.0,BARLASSINA Rinaldo (ITA),BERANEK Alois (AUT),BOUTOURE D. (FRA),429.0,1175,HUN,SUI,1514.6594579833284,1518.7216306996079
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Fort Carree,Antibes ,Sweden,8.0,0.0,Cuba, ,7000.0,4.0,0.0,KRIST Gustav (TCH),WEINGARTNER Karl (AUT),SDEZ Victor (FRA),429.0,1158,SWE,CUB,1501.9070195434085,1514.5950722293965
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Stade Olympique,Colombes ,Italy,3.0,1.0,France, ,58455.0,1.0,1.0,BAERT Louis (BEL),WUETHRICH Hans (SUI),EKLIND Ivan (SWE),429.0,1164,ITA,FRA,1571.7368522321872,1482.661136696518
1938,14 Jun 1938 - 18:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,2.0,1.0,Czechoslovakia, ,18141.0,0.0,1.0,CAPDEVILLE Georges (FRA),MARENCO Paul (FRA),KISSENBERGER Ernest (FRA),429.0,1153,BRA,TCH,1502.186517456911,1544.2906129355288
1938,16 Jun 1938 - 18:00 ,Semi-finals,Parc des Princes,Paris ,Hungary,5.0,1.0,Sweden, ,20000.0,3.0,1.0,LECLERCQ Lucien (FRA),VAN MOORSEL Johannes (NED),SCARPI Giuseppe (ITA),3489.0,1176,HUN,SWE,1530.8465194264797,1518.4910663482708
1938,16 Jun 1938 - 18:00 ,Semi-finals,Stade Vï¿½lodrome,Marseilles ,Italy,2.0,1.0,Brazil, ,33000.0,0.0,0.0,WUETHRICH Hans (SUI),BERANEK Alois (AUT),MARENCO Paul (FRA),3489.0,1149,ITA,BRA,1583.7223401494425,1520.116046331597
1938,19 Jun 1938 - 17:00 ,Match for third place,Stade du Parc Lescure,Bordeaux ,Brazil,4.0,2.0,Sweden, ,12000.0,1.0,2.0,LANGENUS Jean (BEL),OLIVE D. (FRA),VALPREDE Ferdinand (FRA),3488.0,1151,BRA,SWE,1507.0129325266664,1503.0598162543404
1938,19 Jun 1938 - 17:00 ,Final,Stade Olympique,Colombes ,Italy,4.0,2.0,Hungary, ,45000.0,3.0,1.0,CAPDEVILLE Georges (FRA),WUETHRICH Hans (SUI),KRIST Gustav (TCH),3487.0,1174,ITA,HUN,1596.8254539543732,1546.2777695204102
1950,01 Jul 1950 - 15:00 ,Group 1,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,2.0,0.0,Yugoslavia, ,142429.0,1.0,0.0,GRIFFITHS Benjamin (WAL),BERANEK Alois (AUT),DA COSTA VIEIRA Jose (POR),208.0,1191,BRA,YUG,1522.8308926501447,1515.2652547335742
